"sample","group","sex","dataset"
"GSM302859","HC","M","GSE12021"
"GSM302864","HC","M","GSE12021"
"GSM302866","HC","F","GSE12021"
"GSM302870","HC","M","GSE12021"
"GSM302872","RA","M","GSE12021"
"GSM302882","RA","F","GSE12021"
"GSM302896","RA","F","GSE12021"
"GSM302900","RA","F","GSE12021"
"GSM302924","RA","F","GSE12021"
"GSM302927","RA","F","GSE12021"
"GSM302933","RA","F","GSE12021"
"GSM302943","RA","F","GSE12021"
"GSM303364","RA","F","GSE12021"
"GSM303366","RA","M","GSE12021"
"GSM303368","RA","M","GSE12021"
"GSM303520","RA","F","GSE12021"
"GSM303522","HC","M","GSE12021"
"GSM303523","HC","F","GSE12021"
"GSM303525","HC","M","GSE12021"
"GSM303531","HC","M","GSE12021"
"GSM303533","HC","M","GSE12021"
